,Accommodates,Accuracy,Air Conditioning,Bathrooms,Bed type,Bedrooms,Beds,Breakfast,Buzzer/Wireless Intercom,Cable TV,Cancellation,Carbon Monoxide Detector,Check In,Check Out,Checkin,Cleaning_Fee,Cleanliness,Communication,Doorman,Dryer,Elevator in Building,Essentials,Extra_People,Family/Kid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Gym,Heating,Hot Tub,Indoor Fireplace,Internet,Kitchen,Lat,ListingID,Location,Long,Monthly_Price,Pets Allowed,Pool,Price,Property type,Safety Card,Security_Deposit,Shampoo,Smoke Detector,Smoking Allowed,Suitable for Events,TV,Title,URL,UserID,Value,Washer,Weekly_Price,Wheelchair Accessible,Wireless Internet
252,1,Not Found,1,1,Real Bed,1,1,1,1,1,Flexible,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,1,1,Not Found,0,1,1,0,1,1,1,0,1,1,40.72988008847143,6886424,Not Found,-73.98104376959999,Not Found,0,1,90,Apartment,1,Not Found,1,1,0,1,1,"Cozy, clean room in East Village",https://www.airbnb.com/rooms/6886424,36085233,Not Found,1,Not Found,1,1
253,2,4.5,1,1,Real Bed,0,1,1,1,0,Strict,0,3:00 PM,12:00 PM (noon),4.5,$60,4.0,5.0,0,1,0,1,No Charge,0,0,0,0,1,1,0,0,1,1,40.77471546557167,3528438,4.5,-73.95179421663165,$2450,0,1,130,Apartment,1,$200,1,0,0,1,1,Fantastic Studio for your NYC stay!,https://www.airbnb.com/rooms/3528438,2140489,4.5,1,$850,1,1
254,6,Not Found,1,1,Not Found,2,5,1,0,0,Flexible,0,Not Found,Not Found,Not Found,$65,Not Found,Not Found,0,1,0,1,Not Found,1,1,1,0,1,1,0,0,1,1,40.86716873685326,7198592,Not Found,-73.91943144001719,Not Found,0,1,160,Apartment,1,Not Found,0,1,0,1,1,"Lovely 2 Bdrm. Trains, Parks, Food!",https://www.airbnb.com/rooms/7198592,140817,Not Found,1,Not Found,1,1
255,2,5.0,1,1,Real Bed,1,1,1,1,1,Moderate,0,Not Found,2:00 PM,5.0,$60,4.5,5.0,0,1,0,1,No Charge,0,0,0,0,1,1,0,0,1,1,40.74616204466872,592991,5.0,-73.99674872598366,Not Found,0,1,178,Apartment,1,Not Found,0,0,0,1,1,Studio West Village/Meatpacking,https://www.airbnb.com/rooms/592991,2927292,4.5,1,Not Found,1,1
256,2,Not Found,0,1,Real Bed,1,1,1,1,0,Strict,0,Not Found,Not Found,Not Found,$20,Not Found,Not Found,0,1,1,1,No Charge,0,0,0,0,1,1,0,0,1,1,40.81062547975417,6144953,Not Found,-73.96146751539878,$1499,0,1,75,Apartment,1,Not Found,1,1,0,1,0,Quiet room in 1000 sq ft apartment,https://www.airbnb.com/rooms/6144953,27775973,Not Found,1,Not Found,1,1
257,2,5.0,1,1,Real Bed,1,1,1,1,1,Flexible,1,6:00 PM,2:00 PM,5.0,Not Found,5.0,5.0,0,1,1,1,Not Found,0,0,1,0,1,1,0,0,1,1,40.80475896888975,565558,4.5,-73.95634887234414,Not Found,0,1,75,Apartment,1,Not Found,1,1,0,1,1,"Cute space, near Columbia, Wifi",https://www.airbnb.com/rooms/565558,2781072,5.0,1,Not Found,1,1
258,2,Not Found,0,1,Real Bed,1,1,1,1,0,Moderate,1,Not Found,Not Found,Not Found,$20,Not Found,Not Found,0,1,0,1,No Charge,1,0,1,0,1,1,0,0,1,1,40.725340540390896,5854872,Not Found,-73.97877464807286,Not Found,0,1,140,Apartment,1,Not Found,0,1,0,1,0,East Village 1-bedroom paradise,https://www.airbnb.com/rooms/5854872,310087,Not Found,1,$950,1,1
259,1,Not Found,0,1,Real Bed,1,1,1,0,0,Flexible,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,1,1,1,1,Not Found,0,0,0,0,1,1,0,0,1,1,40.80267407109149,6921152,Not Found,-73.96453734369122,$1200,0,1,50,Apartment,1,Not Found,0,0,0,1,0,[Upper West 110th ST Furnitured],https://www.airbnb.com/rooms/6921152,36274102,Not Found,1,$400,1,1
260,2,4.5,1,1,Real Bed,1,1,1,1,0,Strict,1,Not Found,Not Found,4.5,$27,4.5,4.5,0,1,0,1,$20 / night after the first guest,0,0,0,0,1,1,0,0,1,1,40.747039232416526,557018,4.5,-74.00118218032692,Not Found,0,1,85,Apartment,1,$100,0,1,0,1,1,GREAT Private Room in Chelsea!,https://www.airbnb.com/rooms/557018,2687671,4.5,1,Not Found,1,1
261,2,4.5,1,1,Real Bed,1,1,1,1,0,Moderate,0,1:00 PM,11:00 AM,5.0,$40,4.0,5.0,0,1,0,1,No Charge,0,0,0,0,1,1,0,0,1,1,40.79424576853081,286529,4.5,-73.96282044486524,Not Found,0,1,99,Apartment,1,$250,0,0,0,1,0,Bedroom overlooking Central Park!,https://www.airbnb.com/rooms/286529,1490833,4.5,1,Not Found,1,1
262,1,4.5,1,1,Real Bed,1,1,1,0,0,Moderate,1,2:00 PM,12:00 PM (noon),4.5,Not Found,4.5,4.5,0,1,0,1,Not Found,0,1,1,0,1,1,0,0,1,1,40.81938566904297,4974709,4.0,-73.95438449396572,Not Found,0,1,45,Apartment,1,Not Found,0,1,0,1,1,The Manhattanville Guestroom,https://www.airbnb.com/rooms/4974709,16954768,4.5,1,Not Found,1,1
263,2,5.0,0,2,Real Bed,1,1,1,1,0,Moderate,1,Not Found,Not Found,4.5,$100,4.0,5.0,0,1,0,1,$10 / night after the first guest,0,1,1,0,1,1,0,0,1,1,40.802577826751325,4267375,4.5,-73.95816719083436,Not Found,0,1,70,Apartment,1,Not Found,1,1,0,1,0,Room in park-facing apartment,https://www.airbnb.com/rooms/4267375,6671884,5.0,1,Not Found,1,1
