,nameCT,,categoriesCT,descCT,doublon,priceOCT,priceFinalCT,priceFinalAddCT
103,krasdale decorated plates,krasdale decorated plates,General Merchandise,"7&quot; Dessert, 9&quot; Lunch, or 10.25&quot; Dinner 24-48 Ct. Pkg.; 12 Oz. Bowls",1,2.49,2.49,
104,krasdale dry roasted peanuts,krasdale dry roasted peanuts,Grocery,Salted or Unsalted 16 Oz. Jar,1,2.69,2.69,
105,krasdale granulated sugar,krasdale granulated sugar,Grocery,10 lb. Bag,1,5.49,5.49,
106,krasdale instant creamer,krasdale instant creamer,Dairy,35.3 Oz. Btl.,1,3.49,3.49,
107,krasdale ketchup,krasdale ketchup,Grocery,Squeeze 36 Oz. Btls.,1,1.49,1.49,
108,krasdale old fashioned cookies,krasdale old fashioned cookies,Grocery,"Assorted, Duplex, or Vanilla Cremes (14 Oz.); Iced Oatmeal, Oatmeal, or Chocolate Chip 12 Oz. Pkg.",1,1.29,1.29,
109,krasdale pasta,krasdale pasta,Grocery,1 lb. Pkgs.,1,89¢,0.89,
110,krasdale rice,krasdale rice,Grocery,"Enriched, Long Grain 20 lb. Bag",1,8.99,8.99,
111,lavazza espresso,lavazza espresso,Beverages,8 Oz. Can or Premium Drip (10 Oz.),1,6.49,6.49,
112,lefty's spices bbq sauce,lefty's spices bbq sauce,Grocery,Original or Spicy Fish/Chicken Mix (16 Oz. Pouch); Mild or Hot 18 Oz. Btl.,1,3.49,3.49,
114,louisiana brand hot sauce,louisiana brand hot sauce,Grocery,12 Oz. Btl.,1,1.49,1.49,
115,lucky charms,lucky charms,Grocery,"16 Oz. Boxes or General Mills: Cinnamon Toast Crunch (16.2 Oz.), Golden Grahams (16 Oz.), Reese's Puffs (18 Oz.), Cookie Crisp (15.6 Oz.)",1,3.49,3.49,
116,luvs convenience pack diapers,luvs convenience pack diapers,Health & Beauty,"#3, #4, #5 18-24 Ct. Pkg.",1,5.49,5.49,
117,lysol basin,lysol basin,General Merchandise,24 Oz. Can or Power & Free Bathroom Cleaner (22 Oz. Btl.),1,2.99,2.99,
118,lysol cling automatic bowl cleaner,lysol cling automatic bowl cleaner,General Merchandise,"Citrus, Spring, or Lavender 2 Pk. 1.41 Oz. Pkg.",1,2.99,2.99,
119,lysol mold & mildew remover,lysol mold & mildew remover,General Merchandise,or Island Breeze Bathroom Cleaner 32 Oz. Btl.,1,3.29,3.29,
120,maruchan instant lunch,maruchan instant lunch,Grocery,2.25 Oz. Cups,1,2 FOR $1,0.5,2
121,maxwell house cafe pods,maxwell house cafe pods,Beverages,12 Pk. 3.7-4.12 Oz. Box,1,7.49,7.49,
122,maxwell house coffee,maxwell house coffee,Beverages,Assorted Varieties (Excluding Decaf) 10.5-11.5 Oz. Cans,1,3.49,3.49,
123,mazola corn oil,mazola corn oil,Grocery,"or Vegetable Plus, Canola, Corn Plus, 96 Oz. Btl.",1,6.49,6.49,
124,meow mix market select cat food,meow mix market select cat food,Pet Products,or Pate 2.75 Oz. Cups,1,3 FOR $2,0.667,3
125,milk bone dog biscuits,milk bone dog biscuits,Pet Products,"or Healthy Favorites Granola w/Chicken, Flavor Snacks, 18-24 Oz. Pkg.",1,3.99,3.99,
126,miller lite,miller lite,"Beer, Wine & Spirits",or Genuine Draft 12 Pk. 12 Oz. Btls.,1,8.99,8.99,
127,mini muffins,mini muffins,Bakery,"Cafe Valley: Bran, Banana, Chocolate Chip, Blueberry, or Corn 12 Pk. 10.5 Oz. Pkg.",1,2.99,2.99,
128,mott's apple sauce,mott's apple sauce,Grocery,6 Pk. 3.9-4 Oz. Cups,1,$2 ,1.99,
129,mr clean liquid cleaner,mr clean liquid cleaner,General Merchandise,"Febreze Meadow Rain, Lavender, w/Gain Original, or Summer Citrus 24 Oz. Btl.",1,1.99,1.99,
130,mccafe coffee,mccafe coffee,Beverages,12 Oz. Bag,1,6.99,6.99,
131,mccafe single serve coffee,mccafe single serve coffee,Beverages,"Premium Roast Decaf, French Roast, or Premium Roast 12 Pk. 4.12 Oz. Box",1,7.99,7.99,
132,nabisco snackwell's creme cookies single pk,nabisco snackwell's creme cookies single pk,Grocery,1.7 Oz. Box,1,2 FOR $1,0.5,2
133,nabisco snackwell's vanilla creme cookies,nabisco snackwell's vanilla creme cookies,Grocery,or Devil's Food 6.75-7.75 Oz. Box,1,2.99,2.99,
134,near east couscous,near east couscous,Grocery,"Rice Pilaf, Spanish Rice, or Assorted Varieties 5.7-10 Oz. Box",1,1.99,1.99,
136,newman's own salad dressing,newman's own salad dressing,Grocery,16 Oz. Btl. or Organic (12 Oz.),1,2.99,2.99,
137,newman's own vanilla almond cereal,newman's own vanilla almond cereal,Grocery,13 Oz. Boxes or Flakes & Strawberries (12 Oz.); Honey Flax Flakes (16 Oz.),1,$4 ,3.99,
138,nissin big cup noodles,nissin big cup noodles,Grocery,2.82 Oz. Cups,1,5 FOR $3,0.6,5
139,palmolive ultra dish liquid,palmolive ultra dish liquid,General Merchandise,Assorted Varieties 25 Oz. Btl.,1,3.29,3.29,
140,perrier sparkling water,perrier sparkling water,Beverages,"Pink Grapefruit, Lime, Lemon, or Plain (25 Oz.); Citron Lemon Lime or Plain 1 Ltr. Btls.",1,3 FOR $4,1.333,3
141,poland spring water,poland spring water,Beverages,Sport Bottles 12 Pk. 23.7 Oz. Btls.,1,3.99,3.99,
142,pompeian classic olive oil,pompeian classic olive oil,Grocery,8 Oz. Btl.,1,2.69,2.69,
143,pompeian extra virgin olive oil 8 oz btl,pompeian extra virgin olive oil 8 oz btl,Grocery,,1,$3 ,2.99,
144,pompeian extra virgin olive oil,pompeian extra virgin olive oil,Grocery,68 Oz. Btl.,1,13.99,13.99,
145,post grape nuts,post grape nuts,Grocery,20.5 Oz. Boxes or Grape Nuts Flakes (18 Oz.),1,$3 ,3.49,
147,post shredded wheat cereal,post shredded wheat cereal,Grocery,"Original 15 Oz. Boxes or Spoon Size w/Bran (18 Oz.), Spoon Size (16.4 Oz.), Crunch (18.25 Oz.), Honey Nut (20 Oz.)",1,2.99,2.99,
148,ragu pasta sauce,ragu pasta sauce,Grocery,45 Oz. Jars,1,3.49,3.49,
149,san giorgio spaghetti,san giorgio spaghetti,Grocery,"or Rotelle, Cut Ziti, Elbow Macaroni, Spaghettini, 16 Oz. Boxes.",1,"BUY ONE, GET ONE FREE",0,
150,scott 1000 tissue,scott 1000 tissue,General Merchandise,"4 Roll Pkg. or Bathroom, White, Extra Soft Mega Roll (400 sh.)",1,3.69,3.69,
151,smucker's grape jelly,smucker's grape jelly,Grocery,32 Oz. Jars,1,1.99,1.99,
152,smucker's strawberry jam,smucker's strawberry jam,Grocery,32 Oz. Jars,1,2.99,2.99,
153,snow's bumble bee clam sauce,snow's bumble bee clam sauce,Grocery,Red or White 15 Oz. Cans,1,1.99,1.99,
154,starkist solid white tuna,starkist solid white tuna,Grocery,In Oil or Water 5 Oz. Cans,1,3 FOR $4,1.333,3
155,suavitel fabric softener,suavitel fabric softener,General Merchandise,"Field Flowers, Sunset Rose, Lavender, or Morning Sun 135 Oz. Btl.",1,7.49,7.49,
156,sugar in the raw organic white sugar,sugar in the raw organic white sugar,Grocery,24 Oz. Bag,1,3.29,3.29,
157,tang drink mixes,tang drink mixes,Beverages,Makes 6 Qts. 18-20 Oz. Cnstr. or Country Time Lemonade or Kool-Aid (Makes 8 Qts.),1,2.99,2.99,
158,tradewinds iced tea,tradewinds iced tea,Beverages,Assorted Varieties 1 Gal. Btl.,1,2.29,2.29,
159,vintage seltzer,vintage seltzer,Beverages,"or Club Soda, Tonic Water, 1 Ltr. Btls.",1,5 FOR $3,0.6,5
160,viva big roll towels,viva big roll towels,General Merchandise,Single Roll 60 sh. or Kleenex: Choose-A-Size (88 or 102 sh.),1,$2 ,1.69,
161,arnold whole grain classics bread,arnold whole grain classics bread,Bakery,or 100% Whole Wheat 24 Oz. Pkg.,1,2.99,2.99,
162,axelrod fat free yogurt,axelrod fat free yogurt,Dairy,6 Oz. Cups,1,6 FOR $3,0.5,6
163,birds eye farm fresh vegetable blends,birds eye farm fresh vegetable blends,Frozen Foods,"or Stir Fry, Baby, 12.6-16 Oz. Bags",1,2 FOR $5,2.5,2
164,breakstone's cottage cheese,breakstone's cottage cheese,Dairy,16 Oz. Cntr.,1,2.99,2.99,
165,canada dry ginger ale 2 ltr,canada dry ginger ale 2 ltr,Beverages,"Regular or Diet: or Sunkist, Tahitian Treat, Squirt, Country Time, Sun Drop, Sunny Delight, A&W, 7Up, Seltzer 2 Ltr. Btls.",1,3 FOR $4,1.333,3
166,cascadian farm organic vegetables,cascadian farm organic vegetables,Frozen Foods,10-16 Oz. Pkg.,1,2 FOR $6,3,2
167,coca-cola 2 ltr,coca-cola 2 ltr,Beverages,"Regular or Diet: All Varieties: or Fuze, Minute Maid, Barq's, Seagram's, Fresca, Dr. Pepper, Sprite, 2 Ltr. Btls.",1,3 FOR $4,1.333,3
168,coca-cola 8 pk,coca-cola 8 pk,Beverages,"Regular or Diet: or Dr. Pepper, Seagram's Ginger Ale, Fanta Orange, Sprite, 7.5 Oz. Cans",1,2 FOR $6,3,2
169,edy's fruit bars,edy's fruit bars,Frozen Foods,4-12 Pk. 10.2-21 Oz. Boxes,1,$3 ,3.49,
170,edy's ice cream cups,edy's ice cream cups,Frozen Foods,5.8-6 Oz. Cntrs.,1,99¢,0.99,
171,ellio's 9 slice pizza,ellio's 9 slice pizza,Frozen Foods,18.3-19.64 Oz. Boxes or 5 Cheese or Pepperoni Thick Crust (15.6 Oz.),1,$3 ,2.99,
172,evian water,evian water,Beverages,1 Ltr. Btls.,1,4 FOR $5,1.25,4
173,fage total plain greek yogurt,fage total plain greek yogurt,Dairy,17.6 Oz. Cntr.,1,$3 ,2.99,
174,giorgio breaded mozzarella sticks,giorgio breaded mozzarella sticks,Frozen Foods,8 Oz. Boxes,1,$3 ,2.99,
175,haagen-dazs ice cream cups,haagen-dazs ice cream cups,Frozen Foods,3.6 Oz. Cups,1,4 FOR $5,1.25,4
176,hotel bar butter,hotel bar butter,Dairy,Quarters 1 lb. Pkgs.,1,4.99,4.99,
177,i can't believe it's not butter,i can't believe it's not butter,Dairy,(2 Pk. 7.5 Oz. Cups) or 15 Oz. Bowls; Brummel & Brown (15 Oz. Bowl); Spray (8 Oz. Btl.); Simply Delicious (12 Oz. Pkg.),1,2.99,2.99,
178,international delight coffee creamers,international delight coffee creamers,Dairy,Flavored 1 Pt. Btls. or Land O Lakes Regular or Fat Free Half & Half (Cntr.),1,$2 ,1.99,
179,jell-o gelatin snacks,jell-o gelatin snacks,Dairy,4 Pk. 3.12-3.38 Oz. Cups,1,2.59,2.59,
180,keebler export soda crackers,keebler export soda crackers,Grocery,28 Oz. Can,1,4.99,4.99,
181,keebler town house crackers,keebler town house crackers,Grocery,Assorted Varieties 9.2-13.8 Oz. Boxes,1,2 FOR $5,2.5,2
182,krasdale american singles,krasdale american singles,Dairy,12 Oz. Pkgs.,1,2 FOR $3,1.5,2
183,krasdale berry medley,krasdale berry medley,Frozen Foods,12 Oz. Bag,1,1.99,1.99,
184,krasdale broccoli spears,krasdale broccoli spears,Frozen Foods,or Florets 16 Oz. Bags,1,1.99,1.99,
185,krasdale cheddar stick,krasdale cheddar stick,Dairy,"Mild, Sharp, or Extra Sharp 10 Oz. Pkg.",1,2 FOR $5,2.5,2
186,krasdale cinnamon rolls w,krasdale cinnamon rolls w,Dairy,12.4 Oz. Tubes,1,1.99,1.99,
187,krasdale crinkle cut fries,krasdale crinkle cut fries,Frozen Foods,80 Oz. Bags,1,$5 ,4.99,
188,krasdale crumbled feta cheese,krasdale crumbled feta cheese,Dairy,"or Gorgonzola, Blue Cheese, 4 Oz. Cup * GREAT ADDITION TO ANY SALAD",1,2 FOR $3,1.5,2
189,krasdale ice cream,krasdale ice cream,Frozen Foods,1.5 Qt. Cntrs.,1,2 FOR $5,2.5,2
190,krasdale mini corn on the cob,krasdale mini corn on the cob,Frozen Foods,8 Ct. Pkgs.,1,2 FOR $5,2.5,2
191,krasdale mini ice cream sandwiches,krasdale mini ice cream sandwiches,Frozen Foods,12 Pk. 27 Oz. Boxes,1,$4 ,3.99,
192,krasdale monterey pepper jack cheese,krasdale monterey pepper jack cheese,Dairy,Random Weight 9-12 Oz. Pkg.,1,$1 OFF,0,
193,krasdale muenster cheese,krasdale muenster cheese,Dairy,Random Weight 9-12 Oz. Pkg.,1,$1 OFF,0,
194,krasdale onion rings,krasdale onion rings,Frozen Foods,16 Oz. Bag,1,$2 ,1.99,
195,krasdale pancakes,krasdale pancakes,Frozen Foods,Homestyle or Buttermilk 14.8 Oz. Boxes,1,2 FOR $3,1.5,2
196,krasdale pepper strips,krasdale pepper strips,Frozen Foods,or Chopped Onions 8-10 Oz. Bag,1,99¢,0.99,
197,krasdale pizza,krasdale pizza,Frozen Foods,"Supreme, Combo, Pepperoni, or Original 5.25 Oz. Pkg.",1,79¢,0.79,
198,"krasdale red, white & blue pops","krasdale red, white & blue pops",Frozen Foods,12 Pk. 21 Oz. Boxes,1,1.99,1.99,
199,krasdale sliced swiss cheese,krasdale sliced swiss cheese,Dairy,16 Oz. Pkg.,1,4.99,4.99,
201,krasdale spread,krasdale spread,Dairy,Quarters 16 Oz. Pkgs.,1,99¢,0.99,
