shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
BX010026,40.8597572046,-73.8983792954,230003
BX010026,40.8602866783,-73.8980928903,230004
BX010026,40.8605887244,-73.8979290225,230005
BX010026,40.8605887244,-73.8979290225,240001
BX010026,40.8612688073,-73.8975599521,240002
BX010026,40.8621960753,-73.8970668507,240003
BX010026,40.8624566756,-73.8969037608,240004
BX010026,40.8630946539,-73.8964150689,240005
BX010026,40.8630946539,-73.8964150689,250001
BX010026,40.864159958,-73.8955995943,250002
BX010026,40.8652735367,-73.8947554555,250003
BX010026,40.8659016343,-73.8942772228,250004
BX010026,40.8660661996,-73.8941504203,250005
BX010026,40.8663698258,-73.8939203547,250006
BX010026,40.8663698258,-73.8939203547,260001
BX010026,40.8663816196,-73.8939112972,260002
BX010026,40.8678133446,-73.8928243485,260003
BX010026,40.868106545,-73.8926015187,260004
BX010026,40.868106545,-73.8926015187,270001
BX010026,40.8685429164,-73.8922699876,270002
BX010026,40.8692148878,-73.8917590959,270003
BX010026,40.8694260725,-73.8915924329,270004
BX010026,40.869823654,-73.8911687527,270005
BX010026,40.8700703547,-73.8908284759,270006
BX010026,40.8702816199,-73.8904586062,270007
BX010026,40.8702816199,-73.8904586062,280001
BX010026,40.8706430424,-73.889825986,280002
